Jeddah,JED
Jizan,GIZ
Medina,MED
Neom Bay,NUM
Riyadh,RUH
Sakakah,AJF
Tabuk,TUU
Ta'if,TIF
Yanbu,YNB
Seychelles,SEZ
Cape Town,CPT
Durban,DUR
Johannesburg,JNB
Muscat International,MCT
Monastir,MIR
Tunis-Carthage,TUN
Abu Dhabi,AUH
Dubai Al Maktoum International,DWC
Dubai International,DXB
Beijing Capital,PEK
Beijing Daxing,PKX
Changchun,CGQ
Changsha Huanghua,CSX
Chengdu Shuangliu,CTU
Chengdu Tianfu,TFU
Chongqing Jiangbei,CKG
Dalian Zhoushuizi,DLC
Fuzhou Changle,FOC
Guangzhou Baiyun,CAN
Guiyang,KWE
Haikou Meilan,HAK
Hangzhou Xiaoshan,HGH
Harbin,HRB
Hohhot,HET
Hulun Buir,HLD
Jinan,TNA
Kunming Changshui,KMG
Lanzhou,LHW
Nanchang,KHN
Nanjing Lukou,NKG
Nanning,NNG
Qingdao Liuting,TAO
Sanya Fenghuang,SYX
Shanghai Hongqiao,SHA
Shanghai Pudong,PVG
Shenyang,SHE
Shenzhen Bao'an,SZX
Shijiazhuang,SJW
Tianjin Binhai,TSN
Taiyuan,TYN
Urumchi Diwopu,URC
Wuhan Tianhe,WUH
Xi�an Xianyang,XIY
Xiamen Gaoqi,XMN
Zhengzhou,CGO
Zhuhai,ZUH
Kaohsiung,KHH
Taipei,TPE
Hong Kong,HKG
Macau,MFM
Bermuda,BDA
Aeroporto Internacional de Bel�m,BEL
Aeroporto Internacional De Bras�lia,BSB
Aeroporto Internacional De Campinas - Viracopos,VCP
Aeroporto Internacional Tancredo Neves,CNF
Florianopolis,FLN
Fortaleza,FOR
Aeroporto Internacional de Manaus,MAO
Porto Alegre,POA
Recife,REC
Rio de Janeiro,GIG
Rio de Janeiro,SDU
Salvador,SSA
Sao Paulo,GRU
Sao Paulo,CGH
Calgary,YYC
Montreal,YUL
Quebec,YQB
Toronto,YTZ
Toronto,YYZ
Vancouver,YVR
Grand Cayman,GCM
Bogota,BOG
Havana,HAV
Holguin,HOG
Santa Clara,SNU
Varadero,VRA
Santo Domingo,SDQ
Saint Barth�lemy,SBH
Mexico City,MEX
Cancun International Airport,CUN
Lima,LIM
Providenciales International Airport,PLS
Chicago-O' Hare,ORD
Los Angeles,LAX
New York-J.F. Kennedy,JFK
Newark,EWR
Orlando,MCO
San Diego International Airport,SAN
San Francisco,SFO
Seattle-Tacoma International Airport,SEA
Washington Dulles International Airport,IAD
